Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,27.834999,27.990000,27.625000,27.705000,27.705000,13137600
2024-03-25,27.715000,28.065001,27.635000,27.815001,27.815001,12901400
2024-03-26,27.844999,28.215000,27.760000,27.965000,27.965000,15477000
2024-03-27,28.084999,28.120001,27.670000,27.985001,27.985001,15874600
2024-03-28,27.879999,28.440001,27.825001,28.309999,28.309999,17073600
2024-04-01,28.350000,28.459999,27.855000,28.040001,28.040001,10910800
2024-04-02,28.025000,28.170000,27.885000,28.084999,28.084999,10513000
2024-04-03,28.045000,28.320000,27.825001,28.195000,28.195000,14600800
2024-04-04,28.275000,28.975000,28.275000,28.385000,28.385000,23352000
2024-04-05,28.450001,28.540001,28.225000,28.504999,28.504999,12803800
2024-04-08,28.750000,29.420000,28.629999,28.950001,28.950001,19696000
2024-04-09,29.125000,29.385000,29.090000,29.195000,29.195000,9392800
2024-04-10,29.170000,29.250000,28.665001,28.799999,28.799999,14139800
2024-04-11,28.750000,29.035000,28.670000,28.870001,28.870001,12447600
2024-04-12,28.870001,28.924999,28.410000,28.495001,28.495001,11304400
2024-04-15,28.629999,28.670000,28.105000,28.230000,28.230000,14411400
2024-04-16,28.230000,28.400000,27.540001,27.910000,27.910000,22923700
2024-04-17,28.000000,28.170000,27.780001,27.969999,27.969999,17703800
2024-04-18,28.150000,28.230000,27.700001,27.930000,27.930000,15349100
2024-04-19,28.020000,28.020000,27.660000,27.709999,27.709999,18465200
2024-04-22,27.799999,28.049999,27.240000,27.389999,27.389999,21288500
2024-04-23,27.370001,27.730000,27.010000,27.600000,27.600000,21742700
2024-04-24,27.600000,27.670000,27.379999,27.500000,27.500000,11037800
2024-04-25,27.540001,27.650000,27.230000,27.379999,27.379999,11303300
2024-04-26,27.379999,27.379999,27.379999,27.379999,27.379999,0
2024-04-29,27.570000,27.660000,27.379999,27.549999,27.549999,8658100
2024-04-30,27.500000,27.740000,27.420000,27.420000,27.420000,12221500
2024-05-02,27.540001,27.780001,27.379999,27.709999,27.709999,14604400
2024-05-03,28.020000,28.360001,27.900000,28.219999,28.219999,17315600
2024-05-06,28.299999,28.440001,28.160000,28.379999,28.379999,10006000
2024-05-07,28.480000,28.660000,28.290001,28.290001,28.290001,12606600
2024-05-08,28.270000,28.520000,28.010000,28.379999,28.379999,14023400
2024-05-09,28.260000,28.290001,27.049999,27.139999,27.139999,56649000
2024-05-10,27.350000,27.750000,27.350000,27.620001,27.620001,23660500
2024-05-13,27.650000,27.969999,27.650000,27.830000,27.830000,14278500
